title_i,title_j,cosine_similarity
The Standard Deviation of Luminance as a Metric for Contrast in Random-Dot Images,How sensitive are we to distortions in natural scenes ?,0.580434
The Standard Deviation of Luminance as a Metric for Contrast in Random-Dot Images,Perception of global textures based on joint-orientation statistics,0.564142
The Standard Deviation of Luminance as a Metric for Contrast in Random-Dot Images,Orientation tuned curvature detectors revealed by the shape-amplitude after-effect,0.462486
The Standard Deviation of Luminance as a Metric for Contrast in Random-Dot Images,The regularity after-effect: first or second-order?,0.537325
The Standard Deviation of Luminance as a Metric for Contrast in Random-Dot Images,Why is the tilt after-effect selective to local but not global luminance-contrast polarity?,0.472382
The Standard Deviation of Luminance as a Metric for Contrast in Random-Dot Images,Painted faces: misperceiving shading as pigmentation,0.451855
The Standard Deviation of Luminance as a Metric for Contrast in Random-Dot Images,Adaptation aftereffect from faces using the bubbles technique,0.377906
The Standard Deviation of Luminance as a Metric for Contrast in Random-Dot Images,An after-effect of perceived length,0.547181
The Standard Deviation of Luminance as a Metric for Contrast in Random-Dot Images,Perceptual averaging of dichoptic mixtures of colour contrast promoted by task-irrelevant luminance contrast,0.701522
The Standard Deviation of Luminance as a Metric for Contrast in Random-Dot Images,Why do certain spatial after-effects increase with eccentricity?,0.506641
The Standard Deviation of Luminance as a Metric for Contrast in Random-Dot Images,Contextual disambiguation of rotating Necker cubes,0.395984
The Standard Deviation of Luminance as a Metric for Contrast in Random-Dot Images,Dichoptic and binocular detection of hue and saturation differences: the effect of luminance contrast,0.665555
The Standard Deviation of Luminance as a Metric for Contrast in Random-Dot Images,The role of reflectance and shading in face recognition,0.444514
The Standard Deviation of Luminance as a Metric for Contrast in Random-Dot Images,Spatial properties of curvature encoding revealed by the shape-frequency and shape-amplitude after-effects,0.444266
The Standard Deviation of Luminance as a Metric for Contrast in Random-Dot Images,Color properties of binocular color fusion and rivalry,0.599522
The Standard Deviation of Luminance as a Metric for Contrast in Random-Dot Images,Cardinal colour contributions to the colour-shading effect,0.62372
The Standard Deviation of Luminance as a Metric for Contrast in Random-Dot Images,Is color patchy?,0.59836
The Standard Deviation of Luminance as a Metric for Contrast in Random-Dot Images,Dichoptic difference thresholds for familiar and unfamiliar transformations of real scenes,0.652123
The Standard Deviation of Luminance as a Metric for Contrast in Random-Dot Images,Sensitivity to color and luminance transformations in real versus phase-scrambled natural scenes,0.671157
The Standard Deviation of Luminance as a Metric for Contrast in Random-Dot Images,Equivalent-noise analysis of texture orientation processing and the line-element model,0.607652
The Standard Deviation of Luminance as a Metric for Contrast in Random-Dot Images,Colour contrast can facilitate perceived 3D shape-from-shading,0.638488
The Standard Deviation of Luminance as a Metric for Contrast in Random-Dot Images,Edge-based versus region-based texture perception: does the task matter?,0.5667
The Standard Deviation of Luminance as a Metric for Contrast in Random-Dot Images,The role of local position in the detection of contour curvature,0.523661
The Standard Deviation of Luminance as a Metric for Contrast in Random-Dot Images,After-effect of perceived regularity,0.575781
Multiplication in curvature processing,Global shape processing: Which parts form the whole?,0.713664
Multiplication in curvature processing,Contour inflections are adaptable features,0.810812
Multiplication in curvature processing,Dichoptic difference thresholds for uniform color changes applied to natural scenes,0.541712
Multiplication in curvature processing,Orientation tuning of curvature adaptation reveals both curvature-polarity-selective and non-selective mechanisms,0.763124
Multiplication in curvature processing,Chromatic variations suppress suprathreshold brightness variations,0.475616
Multiplication in curvature processing,"Colour Pools, Brightness Pools, Assimilation, and the Spatial Resolving Power of the Human Colour-Vision System",0.452099
Multiplication in curvature processing,On the Interference of Task-Irrelevant Hue Variation on Texture Segmentation,0.415043
Multiplication in curvature processing,"Border effects on brightness: A review of findings, models and issues",0.519012
Multiplication in curvature processing,"Shape recognition: Convexities, concavities and things in between",0.621894
Multiplication in curvature processing,The role of co-circularity of local elements in texture perception,0.598741
Multiplication in curvature processing,Light-dark asymmetries in the Craik-Cornsweet-O'Brien illusion and a new model of brightness coding,0.514335
Multiplication in curvature processing,Aftereffect of perceived regularity,0.536809
Multiplication in curvature processing,Why do shape aftereffects increase with eccentricity?,0.742845
Multiplication in curvature processing,Local and global components of texture-surround suppression of contour-shape coding,0.746874
Multiplication in curvature processing,Chromatic properties of texture-shape and of texture-surround suppression of contour-shape mechanisms,0.63509
Multiplication in curvature processing,Size and shape-frequency after-effects: same or different mechanism?,0.718913
Multiplication in curvature processing,Global shape processing involves feature-selective and feature-agnostic coding mechanisms,0.675195
Multiplication in curvature processing,Digitized Images: What Type of Grey Scale Should One Use?,0.417478
Multiplication in curvature processing,Corner effect in induced hue: Evidence for chromatic band-pass filters,0.456922
Multiplication in curvature processing,Visual adaptation to symmetry,0.579475
Multiplication in curvature processing,Visual cortex responses to different texture-defined boundaries: An fMRI study,0.464782
Multiplication in curvature processing,Spatial properties of texture-surround suppression of contour-shape coding,0.692065
Multiplication in curvature processing,Illusions of colour and shadow,0.417841
Multiplication in curvature processing,Global not local motion direction tuning of curvature encoding mechanisms,0.754257
Multiplication in curvature processing,Modelling Visual Detection: Luminance Response Non-linearity and Internal Noise,0.442967
Multiplication in curvature processing,Model for the detection of line signals in visual noise,0.457816
