title_i,title_j,cosine_similarity
A systematic look at the very high and lowhard state of GX3394: constraining the black hole spin with a new reflection model,Spectral formation in compact X-ray sources,0.46827
A systematic look at the very high and lowhard state of GX3394: constraining the black hole spin with a new reflection model,X-ray photoionized accretion discs: UV and X-ray continuum spectra and polarization,0.634526
A systematic look at the very high and lowhard state of GX3394: constraining the black hole spin with a new reflection model,Fe Kα emission from photoionized slabs: the impact of the iron abundance,0.512662
A systematic look at the very high and lowhard state of GX3394: constraining the black hole spin with a new reflection model,A complete relativistic ionized accretion disc in Cygnus X-1,0.699992
A systematic look at the very high and lowhard state of GX3394: constraining the black hole spin with a new reflection model,Time-dependent X-ray spectra of Compton-cooled plasmas,0.449262
A systematic look at the very high and lowhard state of GX3394: constraining the black hole spin with a new reflection model,The spectra of accretion discs in low-mass X-ray binaries,0.597127
A systematic look at the very high and lowhard state of GX3394: constraining the black hole spin with a new reflection model,Saturation and beaming in astrophysical masers,0.20476
A systematic look at the very high and lowhard state of GX3394: constraining the black hole spin with a new reflection model,Applications of linear pulsation theory to the Cepheid mass problem and the double-mode Cepheids,0.386593
A systematic look at the very high and lowhard state of GX3394: constraining the black hole spin with a new reflection model,"Finite, two-component isothermal spheres. I - Equilibrium models",0.220091
A systematic look at the very high and lowhard state of GX3394: constraining the black hole spin with a new reflection model,The evidence against Comptonization as a mechanism to explain the Fe Kα line profile in MCG-6-30-15,0.563112
A systematic look at the very high and lowhard state of GX3394: constraining the black hole spin with a new reflection model,Fe emission and ionized excess absorption in the luminous quasar 3C 109 with XMM-Newton,0.652183
A systematic look at the very high and lowhard state of GX3394: constraining the black hole spin with a new reflection model,"Erratum: Tests of models for parton fragmentation by means of three-jet events in<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mrow><mml:msup><mml:mrow><mml:mi mathvariant=""italic"">e</mml:mi></mml:mrow><mml:mrow><mml:mo>+</mml:mo></mml:mrow></mml:msup></mml:mrow></mml:math><mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mrow><mml:msup><mml:mrow><mml:mi mathvariant=""italic"">e</mml:mi></mml:mrow><mml:mrow><mml:mi mathvariant=""normal"">−</mml:mi></mml:mrow></mml:msup></mml:mrow></mml:math>annihilation at √<i>s</i>¯=29 GeV [Phys. Rev. Lett. 54, 270 (1985)]",0.051436
A systematic look at the very high and lowhard state of GX3394: constraining the black hole spin with a new reflection model,X-ray reflection in the NLS1 1H 0707-495,0.557451
A systematic look at the very high and lowhard state of GX3394: constraining the black hole spin with a new reflection model,X-ray reflection in Galactic Black Hole Candidates: smeared edge profiles and resonant Auger destruction,0.585012
A systematic look at the very high and lowhard state of GX3394: constraining the black hole spin with a new reflection model,X-ray line emission from photo-ionized gas in a Seyfert nucleus,0.475255
A systematic look at the very high and lowhard state of GX3394: constraining the black hole spin with a new reflection model,Models of the hard X-ray spectrum of AM Herculis and implications for the accretion rate,0.603181
A systematic look at the very high and lowhard state of GX3394: constraining the black hole spin with a new reflection model,The effect of photoelectric absorption on the Comptonized X-ray spectrum of an accreting white dwarf,0.57986
A systematic look at the very high and lowhard state of GX3394: constraining the black hole spin with a new reflection model,Optically thick X-ray transfer - The shell game,0.389477
A systematic look at the very high and lowhard state of GX3394: constraining the black hole spin with a new reflection model,Noise environment in the NLR transonic windtunnel HST,0.02745
A systematic look at the very high and lowhard state of GX3394: constraining the black hole spin with a new reflection model,A comprehensive range of X-ray ionized reflection models,0.614628
A systematic look at the very high and lowhard state of GX3394: constraining the black hole spin with a new reflection model,"Stratigraphic notes, 1983",0.106224
A systematic look at the very high and lowhard state of GX3394: constraining the black hole spin with a new reflection model,X-ray spectra including reflection off matter within the innermost stable orbit,0.637748
A systematic look at the very high and lowhard state of GX3394: constraining the black hole spin with a new reflection model,Ionized Iron Lines in X-ray Reflection Spectra,0.651268
A systematic look at the very high and lowhard state of GX3394: constraining the black hole spin with a new reflection model,An explanation for the soft X-ray excess in AGN (Conference proceedings version),0.663482
A systematic look at the very high and lowhard state of GX3394: constraining the black hole spin with a new reflection model,Experimental study of p.bar.n annihilations between 1.0 and 1.6 GeV/c,0.172042
A systematic look at the very high and lowhard state of GX3394: constraining the black hole spin with a new reflection model,Comptonization of X-Rays by Low Temperature Electrons,0.378446
A systematic look at the very high and lowhard state of GX3394: constraining the black hole spin with a new reflection model,Optically-Thick X-Ray Transfer: The Shell Game.,0.389477
On the interpretation of the multicolour disc model for black hole candidates,Iron Kα lines from X-ray photoionized accretion discs,0.611926
On the interpretation of the multicolour disc model for black hole candidates,X-ray reflection by photoionized accretion discs,0.59971
On the interpretation of the multicolour disc model for black hole candidates,The spectra of accretion discs in active galactic nuclei,0.659076
On the interpretation of the multicolour disc model for black hole candidates,The Comptonization of iron X-ray features in compact X-ray sources,0.291501
On the interpretation of the multicolour disc model for black hole candidates,"Iron K fluorescent lines from relativistic, ionized discs",0.429307
On the interpretation of the multicolour disc model for black hole candidates,Soft X-ray emission lines from photoionized accretion discs: constraints on their strength and width,0.561238
On the interpretation of the multicolour disc model for black hole candidates,Spectral formation in compact X-ray sources,0.34256
On the interpretation of the multicolour disc model for black hole candidates,X-ray photoionized accretion discs: UV and X-ray continuum spectra and polarization,0.64722
On the interpretation of the multicolour disc model for black hole candidates,Fe Kα emission from photoionized slabs: the impact of the iron abundance,0.420514
On the interpretation of the multicolour disc model for black hole candidates,A complete relativistic ionized accretion disc in Cygnus X-1,0.71984
On the interpretation of the multicolour disc model for black hole candidates,Time-dependent X-ray spectra of Compton-cooled plasmas,0.384529
On the interpretation of the multicolour disc model for black hole candidates,The spectra of accretion discs in low-mass X-ray binaries,0.704773
On the interpretation of the multicolour disc model for black hole candidates,Saturation and beaming in astrophysical masers,0.389209
On the interpretation of the multicolour disc model for black hole candidates,Applications of linear pulsation theory to the Cepheid mass problem and the double-mode Cepheids,0.462551
On the interpretation of the multicolour disc model for black hole candidates,"Finite, two-component isothermal spheres. I - Equilibrium models",0.267925
On the interpretation of the multicolour disc model for black hole candidates,The evidence against Comptonization as a mechanism to explain the Fe Kα line profile in MCG-6-30-15,0.597735
On the interpretation of the multicolour disc model for black hole candidates,Fe emission and ionized excess absorption in the luminous quasar 3C 109 with XMM-Newton,0.670067
On the interpretation of the multicolour disc model for black hole candidates,"Erratum: Tests of models for parton fragmentation by means of three-jet events in<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mrow><mml:msup><mml:mrow><mml:mi mathvariant=""italic"">e</mml:mi></mml:mrow><mml:mrow><mml:mo>+</mml:mo></mml:mrow></mml:msup></mml:mrow></mml:math><mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mrow><mml:msup><mml:mrow><mml:mi mathvariant=""italic"">e</mml:mi></mml:mrow><mml:mrow><mml:mi mathvariant=""normal"">−</mml:mi></mml:mrow></mml:msup></mml:mrow></mml:math>annihilation at √<i>s</i>¯=29 GeV [Phys. Rev. Lett. 54, 270 (1985)]",0.073367
On the interpretation of the multicolour disc model for black hole candidates,X-ray reflection in the NLS1 1H 0707-495,0.623008
On the interpretation of the multicolour disc model for black hole candidates,X-ray reflection in Galactic Black Hole Candidates: smeared edge profiles and resonant Auger destruction,0.688634
On the interpretation of the multicolour disc model for black hole candidates,X-ray line emission from photo-ionized gas in a Seyfert nucleus,0.347433
On the interpretation of the multicolour disc model for black hole candidates,Models of the hard X-ray spectrum of AM Herculis and implications for the accretion rate,0.537739
On the interpretation of the multicolour disc model for black hole candidates,The effect of photoelectric absorption on the Comptonized X-ray spectrum of an accreting white dwarf,0.493472
On the interpretation of the multicolour disc model for black hole candidates,Optically thick X-ray transfer - The shell game,0.285191
On the interpretation of the multicolour disc model for black hole candidates,Noise environment in the NLR transonic windtunnel HST,0.099188
On the interpretation of the multicolour disc model for black hole candidates,A comprehensive range of X-ray ionized reflection models,0.479076
On the interpretation of the multicolour disc model for black hole candidates,"Stratigraphic notes, 1983",0.085861
On the interpretation of the multicolour disc model for black hole candidates,X-ray spectra including reflection off matter within the innermost stable orbit,0.648135
On the interpretation of the multicolour disc model for black hole candidates,Ionized Iron Lines in X-ray Reflection Spectra,0.52388
On the interpretation of the multicolour disc model for black hole candidates,An explanation for the soft X-ray excess in AGN (Conference proceedings version),0.621982
On the interpretation of the multicolour disc model for black hole candidates,Experimental study of p.bar.n annihilations between 1.0 and 1.6 GeV/c,0.106097
On the interpretation of the multicolour disc model for black hole candidates,Comptonization of X-Rays by Low Temperature Electrons,0.349876
On the interpretation of the multicolour disc model for black hole candidates,Optically-Thick X-Ray Transfer: The Shell Game.,0.285191
Iron Kα lines from X-ray photoionized accretion discs,X-ray reflection by photoionized accretion discs,0.718482
Iron Kα lines from X-ray photoionized accretion discs,The spectra of accretion discs in active galactic nuclei,0.69406
Iron Kα lines from X-ray photoionized accretion discs,The Comptonization of iron X-ray features in compact X-ray sources,0.60174
Iron Kα lines from X-ray photoionized accretion discs,"Iron K fluorescent lines from relativistic, ionized discs",0.787993
Iron Kα lines from X-ray photoionized accretion discs,Soft X-ray emission lines from photoionized accretion discs: constraints on their strength and width,0.731489
Iron Kα lines from X-ray photoionized accretion discs,Spectral formation in compact X-ray sources,0.515366
Iron Kα lines from X-ray photoionized accretion discs,X-ray photoionized accretion discs: UV and X-ray continuum spectra and polarization,0.752706
Iron Kα lines from X-ray photoionized accretion discs,Fe Kα emission from photoionized slabs: the impact of the iron abundance,0.7529
Iron Kα lines from X-ray photoionized accretion discs,A complete relativistic ionized accretion disc in Cygnus X-1,0.70072
Iron Kα lines from X-ray photoionized accretion discs,Time-dependent X-ray spectra of Compton-cooled plasmas,0.521856
Iron Kα lines from X-ray photoionized accretion discs,The spectra of accretion discs in low-mass X-ray binaries,0.643209
Iron Kα lines from X-ray photoionized accretion discs,Saturation and beaming in astrophysical masers,0.330493
Iron Kα lines from X-ray photoionized accretion discs,Applications of linear pulsation theory to the Cepheid mass problem and the double-mode Cepheids,0.46318
Iron Kα lines from X-ray photoionized accretion discs,"Finite, two-component isothermal spheres. I - Equilibrium models",0.221078
Iron Kα lines from X-ray photoionized accretion discs,The evidence against Comptonization as a mechanism to explain the Fe Kα line profile in MCG-6-30-15,0.727228
