title_i,title_j,cosine_similarity
Monte Carlo study of LDR seed dosimetry with an application in a clinical brachytherapy breast implant,SU‐FF‐T‐316: Measured and Calculated Dose Distribution Around 125I Brachytherapy Seeds in a Breast Phantom,0.80689
Monte Carlo study of LDR seed dosimetry with an application in a clinical brachytherapy breast implant,Sci‐Sat AM(2): Brachy‐05: Dosimetry effects of the TG‐43 approximations for two iodine seeds in LDR brachytherapy,0.627465
SU‐FF‐T‐316: Measured and Calculated Dose Distribution Around 125I Brachytherapy Seeds in a Breast Phantom,Sci‐Sat AM(2): Brachy‐05: Dosimetry effects of the TG‐43 approximations for two iodine seeds in LDR brachytherapy,0.621658
