title_i,title_j,cosine_similarity
Higher-derivative corrections to entropy and the weak gravity conjecture in Anti-de Sitter space,Repulsive black holes and higher-derivatives,0.692119
Higher-derivative corrections to entropy and the weak gravity conjecture in Anti-de Sitter space,Analytic bootstrap of mixed correlators in the $\boldsymbol{O(n)}$ CFT,0.348839
Higher-derivative corrections to entropy and the weak gravity conjecture in Anti-de Sitter space,Adding subtractions: Comparing the impact of different Regge behaviors,0.248004
Higher-derivative corrections to entropy and the weak gravity conjecture in Anti-de Sitter space,Bootstrapping supersymmetric (matrix) quantum mechanics,0.397126
Higher-derivative corrections to entropy and the weak gravity conjecture in Anti-de Sitter space,Holographic duality from Howe duality: Chern-Simons gravity as an ensemble of code CFTs,0.394878
Higher-derivative corrections to entropy and the weak gravity conjecture in Anti-de Sitter space,Quantum bootstrap for central potentials,0.309156
Higher-derivative corrections to entropy and the weak gravity conjecture in Anti-de Sitter space,Report on 2310.06888v1,0.351578
Narain CFTs and quantum codes at higher genus,Classical codes and chiral CFTs at higher genus,0.845612
Narain CFTs and quantum codes at higher genus,Positivity bounds on massive vectors,0.315083
Narain CFTs and quantum codes at higher genus,NUT charge weak gravity conjecture from dimensional reduction,0.31434
Narain CFTs and quantum codes at higher genus,Higher-derivative corrections to black hole entropy at zero temperature,0.339781
Narain CFTs and quantum codes at higher genus,Analytic bootstrap of mixed correlators in the O(n) CFT,0.526379
Narain CFTs and quantum codes at higher genus,Averaging over codes and an SU(2) modular bootstrap,0.782833
Narain CFTs and quantum codes at higher genus,Electric shocks: bounding Einstein-Maxwell theory with time delays on boosted RN backgrounds,0.195612
Narain CFTs and quantum codes at higher genus,Causality bounds from charged shockwaves in 5d,0.301061
Narain CFTs and quantum codes at higher genus,"Is it possible to embed a 4D, $ \mathcal{N} $ = 4 supersymmetric vector multiplet within a completely off-shell adinkra hologram?",0.396506
Narain CFTs and quantum codes at higher genus,Interplay of the sign problem and the infinite volume limit: Gauge theories with a theta term,0.402957
Narain CFTs and quantum codes at higher genus,Bounding violations of the weak gravity conjecture,0.371242
Narain CFTs and quantum codes at higher genus,The Entropy Shift and Extremality Shift at Zero Temperature,0.338148
Narain CFTs and quantum codes at higher genus,The Weyl Anomaly from the 6D Superconformal Index,0.465385
Narain CFTs and quantum codes at higher genus,Averaging over codes and an $SU(2)$ modular bootstrap,0.766873
Narain CFTs and quantum codes at higher genus,Bootstrapping time-evolution in quantum mechanics,0.158169
