title_i,title_j,cosine_similarity
Finite-Temperature Field Theory,Electromagnetic radiation from nuclear collisions at ultrarelativistic energies,0.645897
Finite-Temperature Field Theory,"Hadronic interactions of the<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mi>J</mml:mi><mml:mo>/</mml:mo><mml:mi>ψ</mml:mi></mml:math>",0.520274
Finite-Temperature Field Theory,Elliptic flow in intermediate energy heavy ion collisions and in-medium effects,0.51758
Finite-Temperature Field Theory,Solutions of conformal Israel-Stewart relativistic viscous fluid dynamics,0.508044
Finite-Temperature Field Theory,Multistage Monte Carlo simulation of jet modification in a static medium,0.526257
Finite-Temperature Field Theory,Low Mass Dimuons Produced in Relativistic Nuclear Collisions,0.510385
Finite-Temperature Field Theory,"MARTINI event generator for heavy quarks: Initialization, parton evolution, and hadronization",0.562705
Finite-Temperature Field Theory,Fluid behavior of a baryon-rich hadron resonance gas,0.537211
Finite-Temperature Field Theory,Hydrodynamic Fluctuations in Relativistic Heavy-Ion Collisions,0.579134
Finite-Temperature Field Theory,A hybrid approach to relativistic heavy-ion collisions at the RHIC BES energies,0.579427
Finite-Temperature Field Theory,"Thermal Photon Radiation in High Multiplicity<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mrow><mml:mi>p</mml:mi><mml:mo>+</mml:mo><mml:mi>Pb</mml:mi></mml:mrow></mml:math>Collisions at the Large Hadron Collider",0.640351
Finite-Temperature Field Theory,Electromagnetic radiation as a probe of the initial state and of viscous dynamics in relativistic nuclear collisions,0.469282
Finite-Temperature Field Theory,Jet modification with medium recoil in quark-gluon plasma,0.542542
Finite-Temperature Field Theory,"Dileptons as a probe of pion, kaon, nucleon, and antinucleon dynamics in nuclear matter",0.645648
Finite-Temperature Field Theory,Emission of electromagnetic radiation from the early stages of relativistic heavy-ion collisions,0.568828
Finite-Temperature Field Theory,Bulk viscosity at extreme limits: from kinetic theory to strings,0.520719
Finite-Temperature Field Theory,Exploring the influence of bulk viscosity of QCD on dilepton tomography,0.543461
Finite-Temperature Field Theory,"Charm quark dynamics in quark-gluon plasma with 3 <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML""><mml:mo>+</mml:mo></mml:math> 1D viscous hydrodynamics",0.60151
Finite-Temperature Field Theory,Bulk viscosity of strongly interacting matter in the relaxation time approximation,0.574597
Finite-Temperature Field Theory,Jet-medium interaction and conformal relativistic fluid dynamics,0.511755
Finite-Temperature Field Theory,Benchmarking a nonequilibrium approach to photon emission in relativistic heavy-ion collisions,0.581414
Finite-Temperature Field Theory,Production of intermediate-mass dileptons in relativistic heavy ion collisions,0.499202
Finite-Temperature Field Theory,Imaginary parts and infrared divergences of two-loop vector boson self-energies in thermal QCD,0.617915
Finite-Temperature Field Theory,"<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML""><mml:mrow><mml:mn>3</mml:mn><mml:mo>+</mml:mo></mml:mrow><mml:mn>1</mml:mn><mml:mtext>D</mml:mtext></mml:math> initialization and evolution of the glasma",0.558889
Finite-Temperature Field Theory,Rapidity scan with multistage hydrodynamic and statistical thermal models,0.589184
Finite-Temperature Field Theory,Elliptic and triangular flows in 3+1D viscous hydrodynamics with fluctuating initial conditions,0.545534
Finite-Temperature Field Theory,Open charm phenomenology with a multistage approach to relativistic heavy-ion collisions,0.590969
Finite-Temperature Field Theory,"Minijet quenching in a concurrent <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML""><mml:mi>jet</mml:mi><mml:mo>+</mml:mo><mml:mi>hydro</mml:mi></mml:math> evolution and the nonequilibrium quark-gluon plasma",0.55317
Finite-Temperature Field Theory,"Hyperon/meson ratios in rare high-multiplicity<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mrow><mml:mi>p</mml:mi><mml:mi>p</mml:mi></mml:mrow></mml:math>collisions at energies available at the Large Hadron Collider, and potential signatures for mini-quark-gluon plasma formation",0.576501
Finite-Temperature Field Theory,Multiscale evolution of charmed particles in a nuclear medium,0.527993
Finite-Temperature Field Theory,Conservation laws and nuclear transport models,0.487582
Finite-Temperature Field Theory,Hard jet substructure in a multistage approach,0.406968
Finite-Temperature Field Theory,"Comparisons and predictions for collisions of deformed <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML""><mml:mmultiscripts><mml:mi mathvariant=""normal"">U</mml:mi><mml:mprescripts/><mml:none/><mml:mn>238</mml:mn></mml:mmultiscripts></mml:math> nuclei at <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML""><mml:mrow><mml:msqrt><mml:msub><mml:mi>s</mml:mi><mml:mrow><mml:mi>N</mml:mi><mml:mi>N</mml:mi></mml:mrow></mml:msub></mml:msqrt><mml:mo>=</mml:mo><mml:mn>193</mml:mn></mml:mrow></mml:math> GeV",0.559997
Finite-Temperature Field Theory,Probing the equilibration of the QCD matter created in heavy-ion collisions with dileptons,0.584071
Finite-Temperature Field Theory,Heavy-ion collisions as probes of nuclear structure,0.538867
Finite-Temperature Field Theory,Illuminating early-stage dynamics of heavy-ion collisions through photons at RHIC BES energies,0.616396
Finite-Temperature Field Theory,A Detailed Study and Synthesis of Flow Observables in the IP-Glasma+MUSIC+UrQMD Framework,0.516799
Finite-Temperature Field Theory,Soft-hard framework with exact four-momentum conservation for small systems,0.54133
Finite-Temperature Field Theory,Effects of a background magnetic field on dilepton radiation,0.54527
Finite-Temperature Field Theory,Evolution equation for the energy-momentum moments of the nonequilibrium density function and regularized relativistic third-order hydrodynamics,0.503135
Finite-Temperature Field Theory,Momentum-dependent nuclear mean fields and collective flow in heavy-ion collisions,0.565212
Finite-Temperature Field Theory,Large mass dileptons from the passage of jets through a quark gluon plasma,0.556622
Finite-Temperature Field Theory,Azimuthal Asymmetry of Direct Photons in High Energy Nuclear Collisions,0.542363
Finite-Temperature Field Theory,ρ properties in a hot meson gas,0.53516
Finite-Temperature Field Theory,Baryon junction loops and the baryon-meson anomaly at high energies,0.545764
Finite-Temperature Field Theory,"Toward large<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mi>N</mml:mi></mml:math>thermal QCD from dual gravity: The heavy quarkonium potential",0.570864
Finite-Temperature Field Theory,"Evolving distribution of hard partons traversing a hot, strongly interacting plasma",0.507844
Finite-Temperature Field Theory,Statistical and dynamic models of charge balance functions,0.658954
Finite-Temperature Field Theory,"Role of the<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mrow><mml:msub><mml:mrow><mml:mi mathvariant=""italic"">a</mml:mi></mml:mrow><mml:mrow><mml:mn>1</mml:mn></mml:mrow></mml:msub></mml:mrow></mml:math>meson in dilepton production from hot hadronic matter",0.511961
Finite-Temperature Field Theory,INFLUENCE OF SPATIOTEMPORAL SCALE ON THE INTERPRETATION OF PALEOCOMMUNITY STRUCTURE: LATERAL VARIATION IN THE IMPERIAL FORMATION OF CALIFORNIA,0.026234
Finite-Temperature Field Theory,Photon emission from quark-gluon plasma out of equilibrium,0.519979
Finite-Temperature Field Theory,Bulk spectral functions in single and multiscalar gravity duals,0.415777
Finite-Temperature Field Theory,IP-Glasma Phenomenology Beyond 2D,0.459538
Finite-Temperature Field Theory,Out-of-equilibrium photon production in the late stages of relativistic heavy-ion collisions,0.604566
Finite-Temperature Field Theory,Shear spectral sum rule in a nonconformal gravity dual,0.457099
Finite-Temperature Field Theory,"Baryon anomaly and strong color fields in Pb + Pb collisions at 2.76<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mi>A</mml:mi></mml:math>TeV at the CERN Large Hadron Collider",0.562642
Finite-Temperature Field Theory,"Hadronic transport coefficients from the linear <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML""><mml:mi>σ</mml:mi></mml:math> model at finite temperature",0.530173
Finite-Temperature Field Theory,Comparing the martini and cujet models for jet quenching: Medium modification of jets and jet substructure,0.522959
Finite-Temperature Field Theory,"Leading order, next-to-leading order, and nonperturbative parton collision kernels: Effects in static and evolving media",0.562646
Finite-Temperature Field Theory,Cloning and expression of a gene encoding an integrin-like protein in Candida albicans.,-0.031053
Finite-Temperature Field Theory,Lepton pairs from thermal mesons,0.581438
Finite-Temperature Field Theory,Nuclear equation of state with momentum-dependent interactions,0.590554
Finite-Temperature Field Theory,High momentum dilepton production from jets in a quark gluon plasma,0.598734
Finite-Temperature Field Theory,Intermediate-mass dilepton spectra and the role of secondary hadronic processes in heavy-ion collisions,0.61796
Finite-Temperature Field Theory,Neutrino bremsstrahlung in neutron matter from effective nuclear interactions,0.548625
Finite-Temperature Field Theory,"<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mrow><mml:mi>J</mml:mi><mml:mo>/</mml:mo><mml:mi>ψ</mml:mi></mml:mrow></mml:math>dissociation by light mesons in an extended Nambu–Jona-Lasinio model",0.492492
Finite-Temperature Field Theory,"Strong longitudinal color-field effects in<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mrow><mml:mi mathvariant=""italic"">pp</mml:mi></mml:mrow></mml:math>collisions at energies available at the CERN Large Hadron Collider",0.592128
Finite-Temperature Field Theory,Investigating the temperature dependence of the specific shear viscosity of QCD matter with dilepton radiation,0.545704
Finite-Temperature Field Theory,Photons from nuclear collisions at RHIC energies,0.617209
Finite-Temperature Field Theory,Probes of the quark-gluon plasma and plasma instabilities,0.554795
Finite-Temperature Field Theory,Quantum chromodynamics,0.495464
Finite-Temperature Field Theory,Fast Neutrino Cooling in the Accreting Neutron Star MXB 1659-29,0.531919
Finite-Temperature Field Theory,Family of new exact solutions for longitudinally expanding ideal fluids,0.563721
Finite-Temperature Field Theory,Polarized photons from the early stages of relativistic heavy-ion collisions,0.506513
Finite-Temperature Field Theory,"Erratum: Out-of-equilibrium photon production in the late stages of relativistic heavy-ion collisions [Phys. Rev. C <b>105</b>, 044910 (2022)]",0.602153
Finite-Temperature Field Theory,Disappearance of flow as a probe of the nuclear equation of state,0.520425
Finite-Temperature Field Theory,Soft dilepton production in relativistic heavy-ion collisions,0.614732
Finite-Temperature Field Theory,Dilepton radiation from nucleon-nucleon collisions,0.531807
