title_i,title_j,cosine_similarity
Luminance spatial scale facilitates stereoscopic depth segmentation,Contextual interactions between orientation- and contrast-modulated textures in the tilt induction,0.62277
Luminance spatial scale facilitates stereoscopic depth segmentation,"When two eyes are worse than one: Binocular summation for chromatic, interocular-anti-phase stimuli",0.525333
&lt;title&gt;Detection of compressively sampled gratings&lt;/title&gt;,On invariant-sensitive graspers and cue-sensitive perceivers,0.28145
&lt;title&gt;Detection of compressively sampled gratings&lt;/title&gt;,Modelling probability summation for the detection of multiple stimuli under the assumptions of signal detection theory,0.45879
&lt;title&gt;Detection of compressively sampled gratings&lt;/title&gt;,Driving a rotating Necker Cube: context position matters,0.193151
&lt;title&gt;Detection of compressively sampled gratings&lt;/title&gt;,Nothing more than a curve: a common mechanism for the detection of radial and non-radial frequency patterns?,0.398831
&lt;title&gt;Detection of compressively sampled gratings&lt;/title&gt;,A binocular context exerts a similar influence on both binocular rivalry and ambiguous figure perception,0.328591
&lt;title&gt;Detection of compressively sampled gratings&lt;/title&gt;,Chromatic blur perception in simple and complex stimul,0.583791
&lt;title&gt;Detection of compressively sampled gratings&lt;/title&gt;,RF shape channels: The processing of compound Radial Frequency patterns.,0.339863
&lt;title&gt;Detection of compressively sampled gratings&lt;/title&gt;,Texture density aftereffect is bidirectional,0.52157
&lt;title&gt;Detection of compressively sampled gratings&lt;/title&gt;,Emotional face perception and spatial frequency,0.195335
&lt;title&gt;Detection of compressively sampled gratings&lt;/title&gt;,AB068. Texture density aftereffect can be bidirectional,0.493447
&lt;title&gt;Detection of compressively sampled gratings&lt;/title&gt;,Co-circularity aftereffect in texture perception,0.488006
&lt;title&gt;Detection of compressively sampled gratings&lt;/title&gt;,Adaptation to interocular decorrelation,0.594275
&lt;title&gt;Detection of compressively sampled gratings&lt;/title&gt;,Interocular difference detection is facilitated as well as suppressed by surround masks,0.624243
&lt;title&gt;Detection of compressively sampled gratings&lt;/title&gt;,Behavioral psychophysics,0.071206
&lt;title&gt;Detection of compressively sampled gratings&lt;/title&gt;,Psychophysical Methods,0.510007
&lt;title&gt;Detection of compressively sampled gratings&lt;/title&gt;,When Light Looks Like Paint,0.363064
&lt;title&gt;Detection of compressively sampled gratings&lt;/title&gt;,Opponency versus normalization as the cause of interocular suppression in dichoptic masking,0.572995
&lt;title&gt;Detection of compressively sampled gratings&lt;/title&gt;,Using dichoptic surround suppression to unveil binocular summing and differencing channels,0.532073
